category,key,value
Company Overview,name,NovaTech Solutions
Company Overview,headquarters,"Austin, Texas, USA"
Company Overview,founded,2018
Company Overview,founders,"Elena Vasquez, David Chen"
Company Overview,employees,340
Company Overview,offices,"Austin, Dublin, Singapore"
Company Overview,annual_recurring_revenue,"$47M"
Company Overview,mission,"Help every business deliver personalized customer experiences at scale"
Company Overview,industry,B2B SaaS
Products,plan_name,Starter
Products,starter_price,$49/month
Products,starter_api_calls,2000/day
Products,starter_user_seats,5
Products,starter_retention,3 months
Products,starter_support,Email (24h response)
Products,starter_sla,99.5%
Products,plan_name,Pro
Products,pro_price,$149/month
Products,pro_api_calls,10000/day
Products,pro_user_seats,25
Products,pro_retention,12 months
Products,pro_support,Priority email (4h response)
Products,pro_sla,99.9%
Products,pro_features,Custom chatbot templates
Products,plan_name,Enterprise
Products,enterprise_pricing,Custom
Products,enterprise_api_calls,Unlimited
Products,enterprise_user_seats,Unlimited
Products,enterprise_retention,Unlimited
Products,enterprise_support,"Phone & email (15min response), dedicated account manager"
Products,enterprise_sla,99.99%
Products,enterprise_features,"On-premise deployment, SSO/SAML integration"
Integrations,crm,Salesforce
Integrations,crm,HubSpot
Integrations,helpdesk,Zendesk
Integrations,ecommerce,Shopify
Integrations,ecommerce,WooCommerce
Integrations,api_rate_limit_starter,100 requests/min
Integrations,api_rate_limit_pro,1000 requests/min
Integrations,api_rate_limit_enterprise,1000 requests/min
Billing,billing_cycle_monthly,Monthly
Billing,billing_cycle_annual,Annual
Billing,annual_discount,20%
Billing,refund_policy,"Refunds available on annual plans only within 30 days of purchase"
Billing,monthly_refund,"Monthly plans are non-refundable but can be cancelled anytime"
Billing,refund_processing_time,5-7 business days
Billing,enterprise_contract,"Subject to Master Services Agreement"
Support,email,support@novatech.dev
Support,email_availability,24/7
Support,phone,+1 (512) 555-0142
Support,phone_hours,"Monday - Friday, 8:00 AM - 8:00 PM CST"
Support,live_chat,Available in-app for Pro and Enterprise plans during business hours
Support,knowledge_base,help.novatech.dev
Support,escalation_level_1,"Chatbot (Level 1)"
Support,escalation_level_2,"Email/Phone support (Level 2)"
Support,escalation_level_3,"Senior Engineer (Level 3)"
Support,escalation_level_4,"Account Manager - Enterprise only (Level 4)"
Compliance,soc2,SOC 2 Type II certified
Compliance,gdpr,GDPR compliant
Compliance,data_regions,"US, EU (Dublin), APAC (Singapore)"
Compliance,encryption_at_rest,AES-256
Compliance,encryption_in_transit,TLS 1.3
Compliance,penetration_testing,"Annual penetration testing by CrowdStrike"
Compliance,backup_retention,"30 days (90 days on Enterprise)"
FAQ,question,Can I switch plans mid-cycle?
FAQ,answer,"Yes. Upgrades take effect immediately and you are charged the prorated difference. Downgrades take effect at the next billing cycle."
FAQ,question,Do you offer a free trial?
FAQ,answer,"Yes, a 14-day free trial on Starter and Pro plans. No credit card required."
FAQ,question,What happens if I exceed my API call limit?
FAQ,answer,"You will receive a warning at 80% usage. Additional calls are blocked once the limit is reached. You can purchase overage packs or upgrade your plan."
FAQ,question,Is my data used to train AI models?
FAQ,answer,"No. Customer data is never used for model training. Each tenant operates in an isolated environment."
FAQ,question,Can I export my data?
FAQ,answer,"Yes. You can export all conversations, analytics, and configuration via the dashboard or API at any time."
Contact,website,novatech.dev
Contact,email,support@novatech.dev
Contact,phone,+1 (512) 555-0142
Contact,status_page,status.novatech.dev
Contact,address,"200 Congress Ave, Suite 1500, Austin, TX 78701, USA"
